[15:21:26]  <ipython-input-2-09f797b7f757> :: INFO : Analysis started
[15:21:31]  pyseqrna_utils :: INFO : Reading input samples File 
[15:21:31]  pyseqrna_utils :: INFO : Input file /home/naveen/Documents/Phd_work/pySeqRNA/pySeqRNA/example/input_Sample.txt read succesfully
[15:21:31]  pyseqrna_utils :: INFO : Combination created succesfully from /home/naveen/Documents/Phd_work/pySeqRNA/pySeqRNA/example/input_Sample.txt
[15:21:31]  pyseqrna_utils :: INFO : targets dataframe for differenatial created succesfully from /home/naveen/Documents/Phd_work/pySeqRNA/pySeqRNA/example/input_Sample.txt
[15:25:33]  pyseqrna_utils :: ERROR : Please provide a valid input file
[15:25:33]  pyseqrna_utils :: INFO : Input file /home/naveen/Documents/Projetcs/barley_mali/morex_assembly/targets_pyseqrna.txt read succesfully
[15:25:57]  pyseqrna_utils :: INFO : Reading input samples File 
[15:25:57]  pyseqrna_utils :: INFO : Input file /home/naveen/Documents/Projects/barley_mali/morex_assembly/targets_pyseqrna.txt read succesfully
[15:25:57]  pyseqrna_utils :: INFO : Combination created succesfully from /home/naveen/Documents/Projects/barley_mali/morex_assembly/targets_pyseqrna.txt
[15:25:57]  pyseqrna_utils :: INFO : targets dataframe for differenatial created succesfully from /home/naveen/Documents/Projects/barley_mali/morex_assembly/targets_pyseqrna.txt
[15:35:17]  pyseqrna_utils :: INFO : Reading input samples File 
[15:35:17]  pyseqrna_utils :: INFO : Input file /home/naveen/Documents/Projects/barley_mali/morex_assembly/targets_pyseqrna.txt read succesfully
[15:35:17]  pyseqrna_utils :: INFO : Combination created succesfully from /home/naveen/Documents/Projects/barley_mali/morex_assembly/targets_pyseqrna.txt
[15:35:17]  pyseqrna_utils :: INFO : targets dataframe for differenatial created succesfully from /home/naveen/Documents/Projects/barley_mali/morex_assembly/targets_pyseqrna.txt
[15:35:32]  pyseqrna_stats :: INFO : 3931466 input reads in GA1
[15:35:33]  pyseqrna_stats :: INFO : 4470312 input reads in GA2
[15:35:33]  pyseqrna_stats :: INFO : 3992011 input reads in GA3
[15:35:34]  pyseqrna_stats :: INFO : 3508802 input reads in GB1
[15:35:34]  pyseqrna_stats :: INFO : 4380051 input reads in GB2
[15:35:34]  pyseqrna_stats :: INFO : 3183231 input reads in GB3
[15:35:35]  pyseqrna_stats :: INFO : 3698911 input reads in GC1
[15:35:35]  pyseqrna_stats :: INFO : 5379082 input reads in GC2
[15:35:35]  pyseqrna_stats :: INFO : 3187384 input reads in GC3
[15:35:36]  pyseqrna_stats :: INFO : 3850779 input reads in GD1
[15:35:36]  pyseqrna_stats :: INFO : 4574353 input reads in GD2
[15:35:37]  pyseqrna_stats :: INFO : 3828052 input reads in GD3
[15:35:37]  pyseqrna_stats :: INFO : 4073016 input reads in GE1
[15:35:37]  pyseqrna_stats :: INFO : 4892135 input reads in GE2
[15:35:38]  pyseqrna_stats :: INFO : 4372997 input reads in GE3
[15:35:38]  pyseqrna_stats :: INFO : 3924310 input reads in GF1
[15:35:38]  pyseqrna_stats :: INFO : 4162178 input reads in GF2
[15:35:39]  pyseqrna_stats :: INFO : 3960830 input reads in GF3
[15:35:39]  pyseqrna_stats :: INFO : 4012635 input reads in GG1
[15:35:40]  pyseqrna_stats :: INFO : 3911453 input reads in GG2
[15:35:40]  pyseqrna_stats :: INFO : 5807773 input reads in GG3
[15:35:40]  pyseqrna_stats :: INFO : 4468122 input reads in GH1
[15:35:41]  pyseqrna_stats :: INFO : 4479294 input reads in GH2
[15:35:41]  pyseqrna_stats :: INFO : 3455454 input reads in GH3
[15:35:42]  pyseqrna_stats :: INFO : 4055875 input reads in GI1
[15:35:42]  pyseqrna_stats :: INFO : 5871999 input reads in GI2
[15:35:42]  pyseqrna_stats :: INFO : 3423930 input reads in GI3
[15:35:43]  pyseqrna_stats :: INFO : 3696839 input reads in GJ1
[15:35:43]  pyseqrna_stats :: INFO : 3545637 input reads in GJ2
[15:35:43]  pyseqrna_stats :: INFO : 3418915 input reads in GJ3
[15:35:44]  pyseqrna_stats :: INFO : 4383388 input reads in GK1
[15:35:44]  pyseqrna_stats :: INFO : 4357336 input reads in GK2
[15:35:44]  pyseqrna_stats :: INFO : 3922937 input reads in GK3
[15:35:45]  pyseqrna_stats :: INFO : 3576426 input reads in GL1
[15:35:45]  pyseqrna_stats :: INFO : 3419084 input reads in GL2
[15:35:45]  pyseqrna_stats :: INFO : 3398498 input reads in GL3
[15:35:46]  pyseqrna_stats :: INFO : 3744072 input reads in GM1
[15:35:46]  pyseqrna_stats :: INFO : 3975733 input reads in GM2
[15:35:46]  pyseqrna_stats :: INFO : 3101763 input reads in GM3
[15:35:47]  pyseqrna_stats :: INFO : 4798180 input reads in GN1
[15:35:47]  pyseqrna_stats :: INFO : 4123558 input reads in GN2
[15:35:48]  pyseqrna_stats :: INFO : 3942219 input reads in GN3
[15:35:48]  pyseqrna_stats :: INFO : 4097234 input reads in GO1
[15:35:48]  pyseqrna_stats :: INFO : 4601809 input reads in GO2
[15:35:49]  pyseqrna_stats :: INFO : 3357421 input reads in GO3
[15:35:49]  pyseqrna_stats :: INFO : 5071449 input reads in GP1
[15:35:50]  pyseqrna_stats :: INFO : 4861904 input reads in GP2
[15:35:50]  pyseqrna_stats :: INFO : 3265051 input reads in GP3
[15:35:50]  pyseqrna_stats :: INFO : 3821572 input reads in GQ1
[15:35:51]  pyseqrna_stats :: INFO : 3811979 input reads in GQ2
[15:35:51]  pyseqrna_stats :: INFO : 4927479 input reads in GQ3
[15:35:51]  pyseqrna_stats :: INFO : 3527122 input reads in GR1
[15:35:52]  pyseqrna_stats :: INFO : 4790520 input reads in GR2
[15:35:52]  pyseqrna_stats :: INFO : 3674520 input reads in GR3
[15:35:52]  pyseqrna_stats :: INFO : 4011688 input reads in GS1
[15:35:53]  pyseqrna_stats :: INFO : 3881753 input reads in GS2
[15:35:53]  pyseqrna_stats :: INFO : 3323406 input reads in GS3
[15:35:54]  pyseqrna_stats :: INFO : 4081701 input reads in GT1
[15:35:54]  pyseqrna_stats :: INFO : 3643166 input reads in GT2
[15:35:54]  pyseqrna_stats :: INFO : 3868058 input reads in GT3
[15:35:55]  pyseqrna_stats :: INFO : 4329255 input reads in GU1
[15:35:55]  pyseqrna_stats :: INFO : 4330352 input reads in GU2
[15:35:55]  pyseqrna_stats :: INFO : 3650575 input reads in GU3
[15:35:56]  pyseqrna_stats :: INFO : 5246804 input reads in GV1
[15:35:56]  pyseqrna_stats :: INFO : 4271587 input reads in GV2
[15:35:57]  pyseqrna_stats :: INFO : 3220561 input reads in GV3
[15:35:57]  pyseqrna_stats :: INFO : 4176063 input reads in GW1
[15:35:57]  pyseqrna_stats :: INFO : 4452014 input reads in GW2
[15:35:58]  pyseqrna_stats :: INFO : 3479006 input reads in GW3
[15:35:58]  pyseqrna_stats :: INFO : 4835817 input reads in GX1
[15:35:59]  pyseqrna_stats :: INFO : 4473538 input reads in GX2
[15:35:59]  pyseqrna_stats :: INFO : 3424864 input reads in GX3
[15:35:59]  pyseqrna_stats :: INFO : 5640010 input reads in OA1
[15:36:00]  pyseqrna_stats :: INFO : 4389291 input reads in OA2
[15:36:00]  pyseqrna_stats :: INFO : 4311970 input reads in OA3
[15:36:00]  pyseqrna_stats :: INFO : 3424371 input reads in OB1
[15:36:01]  pyseqrna_stats :: INFO : 4075387 input reads in OB2
[15:36:01]  pyseqrna_stats :: INFO : 2956924 input reads in OB3
[15:36:02]  pyseqrna_stats :: INFO : 3623629 input reads in OC1
[15:36:02]  pyseqrna_stats :: INFO : 3715275 input reads in OC2
[15:36:02]  pyseqrna_stats :: INFO : 4278349 input reads in OC3
[15:36:03]  pyseqrna_stats :: INFO : 3655491 input reads in OD1
[15:36:03]  pyseqrna_stats :: INFO : 4269599 input reads in OD2
[15:36:04]  pyseqrna_stats :: INFO : 5058471 input reads in OD3
[15:36:04]  pyseqrna_stats :: INFO : 2951876 input reads in OE1
[15:36:04]  pyseqrna_stats :: INFO : 4091045 input reads in OE2
[15:36:05]  pyseqrna_stats :: INFO : 3382691 input reads in OE3
